product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
pimprod2021336,Skin Perfecting Healthy Biome Makeup,Almay,7.0,13.99,0.5,"100 Fair, 120 Beige, 110 Light, 140 Golden, 130 Medium, 150 Tan",,Face
pimprod2021336,Skin Perfecting Healthy Biome Makeup,Almay,7.0,13.99,0.5,"100 Fair, 120 Beige, 110 Light, 140 Golden, 130 Medium, 150 Tan",,Foundation
pimprod2021362,Farewell Frizz Hair Care Kit,Briogeo,10.0,20.0,0.5,,,Gifts
pimprod2021362,Farewell Frizz Hair Care Kit,Briogeo,10.0,20.0,0.5,,,By Category
pimprod2021362,Farewell Frizz Hair Care Kit,Briogeo,10.0,20.0,0.5,,,Hair Gifts
pimprod2021458,Purifying Matcha Body Scrub,ULTA,4.62,18.5,0.75,,,Bath & Body
pimprod2021458,Purifying Matcha Body Scrub,ULTA,4.62,18.5,0.75,,,Bath & Shower
pimprod2021458,Purifying Matcha Body Scrub,ULTA,4.62,18.5,0.75,,,Body Scrubs & Exfoliants
pimprod2021484,Miracle Tanning Serum,St. Moriz,12.49,24.99,0.5,,,Skin Care
pimprod2021484,Miracle Tanning Serum,St. Moriz,12.49,24.99,0.5,,,Suncare
pimprod2021484,Miracle Tanning Serum,St. Moriz,12.49,24.99,0.5,,,Self-Tanning & Bronzing
pimprod2021504,Grapefruit Daily Foaming Cleanser,Yes to,2.24,8.99,0.75,,Free Gift,Skin Care
pimprod2021504,Grapefruit Daily Foaming Cleanser,Yes to,2.24,8.99,0.75,,Free Gift,Cleansers
pimprod2021504,Grapefruit Daily Foaming Cleanser,Yes to,2.24,8.99,0.75,,Free Gift,Face Wash
pimprod2021506,Avocado Fragrance Free Daily Mineral Lotion SPF 15,Yes to,3.24,12.99,0.75,,Free Gift,Skin Care
pimprod2021506,Avocado Fragrance Free Daily Mineral Lotion SPF 15,Yes to,3.24,12.99,0.75,,Free Gift,Moisturizers
pimprod2021506,Avocado Fragrance Free Daily Mineral Lotion SPF 15,Yes to,3.24,12.99,0.75,,Free Gift,Face Moisturizer
pimprod2021510,Renew So Smooth Oil-Controlling Clay Mask,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Skin Care
pimprod2021510,Renew So Smooth Oil-Controlling Clay Mask,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Treatment & Serums
pimprod2021510,Renew So Smooth Oil-Controlling Clay Mask,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Face Masks
pimprod2021522,Feel So Soft Oil Free Moisturizer,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Skin Care
pimprod2021522,Feel So Soft Oil Free Moisturizer,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Moisturizers
pimprod2021522,Feel So Soft Oil Free Moisturizer,Formula 10.0.6,4.49,8.99,0.5,,"Free Gift, Only at Ulta",Face Moisturizer
pimprod2021536,Mini Healthy Heat Thermal Straightening Brush,Eva Nyc,29.99,34.99,0.14,,Online Only,Hair
pimprod2021536,Mini Healthy Heat Thermal Straightening Brush,Eva Nyc,29.99,34.99,0.14,,Online Only,Hair Styling Tools
pimprod2021536,Mini Healthy Heat Thermal Straightening Brush,Eva Nyc,29.99,34.99,0.14,,Online Only,Hot Brushes
pimprod2021555,Day SPF 30 + Night Eye Cream Duo,COOLA,22.99,46.0,0.5,,,Skin Care
pimprod2021555,Day SPF 30 + Night Eye Cream Duo,COOLA,22.99,46.0,0.5,,,Eye Treatments
