,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
42,makeup,lips,lipstick,NARS Orgasm Lipstick,NARS,Orgasm Lipstick,19.97, , ,3.90,90,https://www.ulta.com/orgasm-lipstick?productId=prod16261023
43,makeup,eyes, ,NARS Velvet Eyeliner,NARS,Velvet Eyeliner,16.97, , ,4.00,11,https://www.ulta.com/velvet-eyeliner?productId=xlsImpprod15251341
44,makeup,lips, ,NARS Velvet Matte Lip Pencil,NARS,Velvet Matte Lip Pencil,18.97,13 Colors, ,4.50,335,https://www.ulta.com/velvet-matte-lip-pencil?productId=xlsImpprod15251321
45,hair,shampoo & conditioner, ,Nexxus Dry Shampoo Refreshing Mist,Nexxus,Dry Shampoo Refreshing Mist,6.97, , ,4.00,41,https://www.ulta.com/dry-shampoo-refreshing-mist?productId=xlsImpprod16971001
46,skin care,treatment & serums, ,Nuface Hydrating Leave-On Gel Primer,Nuface,Hydrating Leave-On Gel Primer,6.97,3 Sizes, ,4.30,47,https://www.ulta.com/hydrating-leave-on-gel-primer?productId=xlsImpprod17231081
47,bath & body,hand & foot care, ,OPI ProSpa Treatment Gloves Single Pack,OPI,ProSpa Treatment Gloves Single Pack,4.97, , ,2.50,2,https://www.ulta.com/prospa-treatment-gloves-single-pack?productId=pimprod2007618
48,tools & brushes,hair styling tools, ,Paul Mitchell Express Ion Unclipped 1'' Bubble Rod Attachment,Paul Mitchell,Express Ion Unclipped 1'' Bubble Rod Attachment,20.97, , ,Price, ,https://www.ulta.com/express-ion-unclipped-1-bubble-rod-attachment?productId=pimprod2000693
49,hair,gifts & value sets, ,Paul Mitchell Fresh Looks Hot Brush In Plum Perfection,Paul Mitchell,Fresh Looks Hot Brush In Plum Perfection,59.97, , ,3.70,23,https://www.ulta.com/fresh-looks-hot-brush-in-plum-perfection?productId=pimprod2009759
50,tools & brushes,hair styling tools, ,Paul Mitchell Fresh Looks Mad For Magenta 1'' Flat Iron,Paul Mitchell,Fresh Looks Mad For Magenta 1'' Flat Iron,59.97, , ,4.50,22,https://www.ulta.com/fresh-looks-mad-magenta-1-flat-iron?productId=pimprod2008971
51,tools & brushes,hair styling tools, ,Paul Mitchell Neuro Unclipped Styling Cone Curling Iron,Paul Mitchell,Neuro Unclipped Styling Cone Curling Iron,68.97, , ,4.40,18,https://www.ulta.com/neurounclipped-styling-cone-curling-iron?productId=xlsImpprod15671059
