,url,id,brand,desc,rating,number_of_reviews,sale,price,secret_sale,options,main_category,sub_category,sub_sub_category,offers,sale_price
Anastasia Beverly Hills Lip Gloss,https://www.ulta.com/lip-gloss?productId=xlsImpprod13811009,xlsImpprod13811009,Anastasia Beverly Hills,Lip Gloss,4.50,882,0,$11.97 - $16.00,1,17 Colors,makeup,lips,lip gloss,,
Urban Decay Cosmetics Vice Lipstick Metallized,https://www.ulta.com/vice-lipstick-metallized?productId=xlsImpprod14251023,xlsImpprod14251023,Urban Decay Cosmetics,Vice Lipstick Metallized,4.60,4316,0,$13.97 - $19.00,1,11 Colors,makeup,lips,lipstick,,
Too Faced Melted Matte-Tallic Liquified Lipstick,https://www.ulta.com/melted-matte-tallic-liquified-lipstick?productId=xlsImpprod18631031,xlsImpprod18631031,Too Faced,Melted Matte-Tallic Liquified Lipstick,4.30,200,0,$14.97,1,4 Colors,makeup,lips,lipstick,,
Lipstick Queen Sinner - Opaque Lipstick,https://www.ulta.com/sinner-opaque-lipstick?productId=xlsImpprod5120071,xlsImpprod5120071,Lipstick Queen,Sinner - Opaque Lipstick,4.40,306,0,$16.97 - $24.00,1,11 Colors,makeup,lips,lipstick,,
KKW BEAUTY Sooo Fire Lip Gloss,https://www.ulta.com/sooo-fire-lip-gloss?productId=pimprod2011581,pimprod2011581,KKW BEAUTY,Sooo Fire Lip Gloss,4.30,36,0,$8.97,1,,makeup,lips,lip gloss,,
Urban Decay Cosmetics Vice Lipstick Mega Matte,https://www.ulta.com/vice-lipstick-mega-matte?productId=xlsImpprod14251021,xlsImpprod14251021,Urban Decay Cosmetics,Vice Lipstick Mega Matte,4.60,4316,0,$13.97 - $19.00,1,4 Colors,makeup,lips,lipstick,,
Urban Decay Cosmetics Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,https://www.ulta.com/sparkle-out-loud-hi-fi-shine-ultra-cushion-lip-gloss?productId=pimprod2006949,pimprod2006949,Urban Decay Cosmetics,Sparkle Out Loud Hi-Fi Shine Ultra Cushion Lip Gloss,4.20,256,0,$13.97,1,2 Colors,makeup,lips,lip gloss,,
Too Faced Sweet Peach Creamy Lip Oil,https://www.ulta.com/sweet-peach-creamy-lip-oil?productId=xlsImpprod15191123,xlsImpprod15191123,Too Faced,Sweet Peach Creamy Lip Oil,4.50,1187,0,$13.97,1,,makeup,lips,lip gloss,,
Smashbox Be Legendary Liquid Lip,https://www.ulta.com/be-legendary-liquid-lip?productId=xlsImpprod15621021,xlsImpprod15621021,Smashbox,Be Legendary Liquid Lip,4.20,489,0,$16.97 - $24.00,1,8 Colors,makeup,lips,lipstick,,
Lottie London Lip Foil Iridescent Duo Chrome Lip Topper,https://www.ulta.com/lip-foil-iridescent-duo-chrome-lip-topper?productId=xlsImpprod18481005,xlsImpprod18481005,Lottie London,Lip Foil Iridescent Duo Chrome Lip Topper,4.20,6,0,$3.97 - $6.49,1,2 Colors,makeup,lips,lip gloss,,
