ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
56,pimprod2015578,https://www.ulta.com/travel-size-bb-creme?productId=pimprod2015578,$22.00,,$22.00,False
57,xlsImpprod14521141,https://www.ulta.com/bb-cream-spf-20?productId=xlsImpprod14521141,$6.00,,$6.00,False
58,xlsImpprod10821036,https://www.ulta.com/magic-skin-beautifier-bb-cream-anti-fatigue?productId=xlsImpprod10821036,$11.99,,$11.99,False
59,pimprod2006971,https://www.ulta.com/new-green-me-bb-cream?productId=pimprod2006971,$16.00,2 Colors,$16.00,False
60,xlsImpprod17451093,https://www.ulta.com/total-control-drop-primer?productId=xlsImpprod17451093,$17.00,,$17.00,False
61,pimprod2010131,https://www.ulta.com/rendezvous-pressed-blush?productId=pimprod2010131,$15.00,,$15.00,False
62,xlsImpprod14371025,https://www.ulta.com/nofilter-finishing-powder?productId=xlsImpprod14371025,$12.00,2 Colors,$12.00,False
63,pimprod2009114,https://www.ulta.com/travel-size-cleanser?productId=pimprod2009114,$24.00,,$24.00,False
64,pimprod2004104,https://www.ulta.com/magic-mitt?productId=pimprod2004104,$15.00,,$15.00,False
65,xlsImpprod14521227,https://www.ulta.com/makeup-remover-cleansing-cloths-single-pack?productId=xlsImpprod14521227,$4.00,,$4.00,False
66,xlsImpprod14521143,https://www.ulta.com/hd-mattifying-cream-foundation?productId=xlsImpprod14521143,$6.00,,$6.00,False
67,pimprod2005772,https://www.ulta.com/metallic-powder-flare-highlighter?productId=pimprod2005772,$6.00,2 Colors,$6.00,False
68,pimprod2005660,https://www.ulta.com/bronzer?productId=pimprod2005660,$30.00,3 Colors,$30.00,False
69,pimprod2003500,https://www.ulta.com/multiglow?productId=pimprod2003500,$23.80 - $34.00,3 Colors,$23.80 - $34.00,False
70,xlsImpprod15361145,https://www.ulta.com/visible-lift-radiance-booster?productId=xlsImpprod15361145,$12.99,,$12.99,False
71,xlsImpprod17631319,https://www.ulta.com/in-your-prime-hydrating-primer?productId=xlsImpprod17631319,$10.99,,$10.99,False
72,xlsImpprod17481045,https://www.ulta.com/vitalist-healthy-glow-highlighter?productId=xlsImpprod17481045,$5.49,,$5.49,False
73,pimprod2013797,https://www.ulta.com/authentik-skin-perfector-retouch-concealer?productId=pimprod2013797,$19.00,30 Colors,$19.00,False
74,xlsImpprod15971029,https://www.ulta.com/mattifying-face-primer?productId=xlsImpprod15971029,$6.99,,$6.99,False
75,pimprod2014389,https://www.ulta.com/body-lite?productId=pimprod2014389,$25.00,2 Colors,$25.00,False
76,pimprod2008556,https://www.ulta.com/bio-baked-brightener-powder?productId=pimprod2008556,$24.99,,$24.99,False
77,pimprod2013363,https://www.ulta.com/rose-vibes-only-luminice-highlight-blush-glow-palette?productId=pimprod2013363,$11.99,,$11.99,False
78,pimprod2014521,https://www.ulta.com/all-glowing-creme-highlighter?productId=pimprod2014521,$35.00,3 Colors,$35.00,False
79,pimprod2017206,https://www.ulta.com/travel-size-illuminating-face-primer?productId=pimprod2017206,$6.00,,$6.00,False
80,pimprod2003313,https://www.ulta.com/moonlight-magic-highlight-palette?productId=pimprod2003313,$10.99,,$10.99,False
81,xlsImpprod18821077,https://www.ulta.com/copperplate-highlighting-palette?productId=xlsImpprod18821077,$14.99,,$14.99,False
