product_id,price,options,url,brand,product,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
pimprod2005889,3.5,"Warm Pink, Sheer Plum",https://www.ulta.com/total-hydration-vitamin-enriched-tinted-lip-oil?productId=pimprod2005889,ChapStick,Total Hydration Vitamin Enriched Tinted Lip Oil,3.80,24,,skin care,moisturizers, ,$6.99,old,0.4993
pimprod2005937,3.5,"Disruptive, Problematic, Carnage, You Want Some More, Boss Mode, Do You Mind",https://www.ulta.com/lip-dose-soft-matte-lipclick?productId=pimprod2005937,Sleek MakeUP,Lip Dose Soft Matte LipClick,4.80,8,,makeup,lips,lipstick,$7.00,old,0.5
pimprod2003477,2.5,"About Last Nite (light brown), Never Learn (bronze metallic), Impatient (champagne god metallic), Back to Reality (cream nude)",https://www.ulta.com/eyeshadow-mono?productId=pimprod2003477,Sleek MakeUP,Eyeshadow Mono,4.30,9,,makeup,eyes,eyeshadow,$5.00,old,0.5
pimprod2013399,2.5,"Sand, Clay",https://www.ulta.com/putty-eye-primer?productId=pimprod2013399,e.l.f. Cosmetics,Putty Eye Primer,3.20,173,Free Gift with Purchase!,makeup,eyes, ,$5.00,old,0.5
pimprod2003500,23.8,"Warm Honey (bronze gold), Frosted Gold (icy champagne gold)",https://www.ulta.com/multiglow?productId=pimprod2003500,ICONIC LONDON,Multiglow,3.70,3,Free Gift with Purchase!,makeup,face,highlighter,$34.00,old,0.3
pimprod2003501,40.6,Original (bronze/golden),https://www.ulta.com/loose-pigment-palette?productId=pimprod2003501,ICONIC LONDON,Loose Pigment Palette,3.50,4,Free Gift with Purchase!,makeup,gifts & value sets,makeup palettes,$58.00,old,0.3
pimprod2003502,16.8,"Mystic (mauve), Spellbound (pink), Cosmic (gold), Eclipse (purple), Lunar (gray)",https://www.ulta.com/chrome-flash-eye-pot?productId=pimprod2003502,ICONIC LONDON,Chrome Flash Eye Pot,3.00,4,Free Gift with Purchase!,makeup,eyes, ,$24.00,old,0.3
pimprod2005036,15.4,"Flower.ai (vibrant pink, matte)",https://www.ulta.com/softwear-blush-soft-matte?productId=pimprod2005036,Lime Crime,Softwear Blush Soft Matte,3.10,14,Free Gift with Purchase!,makeup,face, ,$22.00,old,0.3
xlsImpprod12051091,15.4,Black,https://www.ulta.com/skinny-liquid-vegan-eyeliner?productId=xlsImpprod12051091,Eyeko,Skinny Liquid Vegan Eyeliner,4.50,376,Free Gift with Purchase!,makeup,eyes,eyeliner,$22.00,old,0.3
pimprod2005603,17.49,"9.0 oz, 14 ct",https://www.ulta.com/de-stress-daily-super-greens-detox-powder?productId=pimprod2005603,Naturally G4U,De-Stress - Daily Super Greens Detox Powder,4.60,10,,skin care,supplements, ,$34.99,old,0.5001
pimprod2005671,25.2,DPG4 Coffee (rich brown skin w/ golden undertones),https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,4.00,397,Free Gift with Purchase!,makeup,face, ,$36.00,old,0.3
pimprod2006358,12.0,Vol. 3 (champagne),https://www.ulta.com/tribe-highlighter?productId=pimprod2006358,Juvia's Place,The Tribe Highlighter,4.50,52,,makeup,face, ,$15.00,old,0.2
pimprod2006566,9.97,"Medium, Light",https://www.ulta.com/tinted-moisturizing-bb-cream-with-spf-30?productId=pimprod2006566,Derma E,Tinted Moisturizing BB Cream with SPF 30+,2.80,89,,makeup,face, ,$19.95,old,0.5003
