main_category,sub_category,sub_sub_category,name,brand,product,price,old_price,percent_off,options,offers,rating,no_of_reviews,age
makeup,face,,Derma ETinted Moisturizing BB Cream with SPF 30+,Derma E,Tinted Moisturizing BB Cream with SPF 30+,9.97,$19.95 ,50.03%,"Light, Medium",,2.9,60,old
makeup,eyes,eyeliner,KIKO MilanoOcean Feel Eye Pencil,KIKO Milano,Ocean Feel Eye Pencil,5,$10.00 ,50.00%,03 Perfect Brown,,3.8,4,old
makeup,eyes,,KIKO MilanoNew Green Me Brow Pencil,KIKO Milano,New Green Me Brow Pencil,5,$10.00 ,50.00%,"102 Light Chestnut, 103 Brown, 101 Blonde",,4,2,old
makeup,face,,Makeup RevolutionGlass Illuminator Face & Body Highlighter,Makeup Revolution,Glass Illuminator Face & Body Highlighter,5,$10.00 ,50.00%,Black Ice,,4.1,22,old
makeup,lips,lipstick,KIKO MilanoOcean Feel Lipstick,KIKO Milano,Ocean Feel Lipstick,7,$14.00 ,50.00%,"06 Feel Red, 03 Coral Inside, 05 Orange Crush",,4.3,11,old
makeup,face,blush,KIKO MilanoNew Green Me Blush,KIKO Milano,New Green Me Blush,7,$14.00 ,50.00%,"101 Coral View, 102 Soft Mauve",,4.1,7,old
makeup,lips,lipstick,KIKO MilanoNew Green Me Matte Lipstick,KIKO Milano,New Green Me Matte Lipstick,7,$14.00 ,50.00%,"103 Basic Brick, 104 Plush Chestnut, 102 Essential Mauve",,4.7,3,old
makeup,lips,,KIKO MilanoOcean Feel Lip Liner,KIKO Milano,Ocean Feel Lip Liner,4.5,$9.00 ,50.00%,"06 Feel Red, 03 Coral Inside, 05 Orange Crush",,4.4,5,old
makeup,eyes,eyeliner,KIKO MilanoNew Green Me Kajal Eye Pencil,KIKO Milano,New Green Me Kajal Eye Pencil,4.5,$9.00 ,50.00%,104 Deep Black,,4.7,3,old
makeup,eyes,eyeliner,Holika HolikaJewel Light Skinny Eye Liner,Holika Holika,Jewel Light Skinny Eye Liner,4.5,$9.00 ,50.00%,"Red Velvet, Conac Brown, Cocoa Powder, Champagne Pop, Choco Tarte, Honey Blast, Rose Sparkling, Coconut Latte, Starry Brown",,1.8,6,old
makeup,lips,lipstick,KIKO MilanoNew Green Me Lips & Cheeks Pencil,KIKO Milano,New Green Me Lips & Cheeks Pencil,6,$12.00 ,50.00%,"106 Hazelnut Dream, 105 Rustic Rosewood",,4.7,7,old
makeup,eyes,eyeshadow,BuxomCustomizable Eyeshadow Bar Single Refills,Buxom,Customizable Eyeshadow Bar Single Refills,6,$12.00 ,50.00%,"VIP (sparkling orchid), Prenup (shimmering emerald), Luxe Life (glimmering periwinkle)",Buy Together and Save! Palette (2547459) and 6 Single Eyeshadow Refills (40 shades) $40. $85 value!,4.5,782,old
makeup,face,highlighter,KIKO MilanoNew Green Me Compact Highlighter,KIKO Milano,New Green Me Compact Highlighter,8,$16.00 ,50.00%,102 Sunkissed Copper,,3,1,old
makeup,face,,KIKO MilanoNew Green Me BB Cream,KIKO Milano,New Green Me BB Cream,8,$16.00 ,50.00%,"105 Warm Almond, 106 Hazelnut",,4,3,old
makeup,eyes,mascara,KIKO MilanoNew Green Me Extreme Volume Mascara,KIKO Milano,New Green Me Extreme Volume Mascara,8,$16.00 ,50.00%,101 Pure Black,,3.7,7,old
makeup,lips,,Winky LuxDisco Gloss,Winky Lux,Disco Gloss,8,$16.00 ,50.00%,Dyn-o-mite (yellow),,4.3,4,old
makeup,face,,Ofra CosmeticsAbsolute Cover Foundation,Ofra Cosmetics,Absolute Cover Foundation,28,$40.00 ,30.00%,8 (a deep shade w/ a warm undertone),,3.8,38,old
makeup,eyes,eyeshadow,J.Cat BeautyPris-Metal Chrome Eye Mousse,J.Cat Beauty,Pris-Metal Chrome Eye Mousse,2.99,$5.99 ,50.08%,Foiled Bombshell,,4.1,10,old
makeup,eyes,eyeliner,EssenceEyeliner Pen Longlasting,Essence,Eyeliner Pen Longlasting,2.99,$3.99 ,25.06%,Brown 03,"Buy 1, get 1 at 50% off!",3.2,50,old
makeup,gifts & value sets,makeup palettes,Revolution PRORegeneration Palette,Revolution PRO,Regeneration Palette,7.49,$15.00 ,50.07%,"Restoration, Mirage, Mischief Mattes",,4,13,old
skin care,korean skin care,,PuremaySoft Serum Toner,Puremay,Soft Serum Toner,17.5,$35.00 ,50.00%,"Gypsophila, Rose",,5,5,old
makeup,lips,,ZOEVALimited Edition Melody Lip Gloss,ZOEVA,Limited Edition Melody Lip Gloss,11.76,$16.80 ,30.00%,"Fly Away (clear pink sparkle), Become a Butterfly (clear rose golden), Spread Your Wings (clear gold sparkle), Join The Dance (peachy nude gold), Radiant Flight (pink nude silver)",,4.3,4,old
nails,nail polish,,"OPIBlack, White, & Gray Nail Lacquer Collection",OPI,"Black, White, & Gray Nail Lacquer Collection",5.25,$10.50 ,50.00%,Rub-a-Pub-Pub (coal gray),,4.5,26,new
nails,nail polish,,"OPINail Lacquer Nail Polish, Blues",OPI,"Nail Lacquer Nail Polish, Blues",5.25,$10.50 ,50.00%,OPI Grabs the Unicorn by the Horn (captivating soft blue),,4.5,123,new
nails,nail polish,,"OPINail Lacquer Nail Polish, Nudes/Neutrals",OPI,"Nail Lacquer Nail Polish, Nudes/Neutrals",5.25,$10.50 ,50.00%,Edinburgh-er & Tatties (warm beige),,4.6,76,new
nails,nail polish,,"OPINail Lacquer Nail Polish, Purples",OPI,"Nail Lacquer Nail Polish, Purples",5.25,$10.50 ,50.00%,"You've Got that Glas-glow (purple), Boys Be Thistle-ing at Me (purple), Good Girls Gone Plaid (alluring amethyst)",,3.5,22,old
nails,nail polish,,"OPINail Lacquer Nail Polish, Reds",OPI,"Nail Lacquer Nail Polish, Reds",5.25,$10.50 ,50.00%,"A Little Guilt Under The Kilt (amazing red), Red Heads Ahead (auburn red)",,4.5,28,old
makeup,lips,lipstick,TPSYAbsoliptly Lipstick,TPSY,Absoliptly Lipstick,5.25,$10.97 ,52.14%,Suncloud (red orange),,3,3,old
makeup,face,,Makeup RevolutionConceal & Fix Setting Powder,Makeup Revolution,Conceal & Fix Setting Powder,5.49,$11.00 ,50.09%,Deep Honey (for golden to medium olive skin tones that have an undertone of yellow ),,3.2,40,old
makeup,face,,Makeup RevolutionConceal & Define Satte Matte Powder Foundation,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,5.49,$11.00 ,50.09%,"P12 (medium/dark skin tones w/ neutral undertone), P5 (light skin tones w/ golden undertone)",,4.3,60,old
makeup,lips,,L'OréalColour Riche Matte Lipcolour,L'Oréal,Colour Riche Matte Lipcolour,5.49,$10.99 ,50.05%,"Matte-Gic, Matte At Bat","Buy 2, get 1 FREE - Add 3 items to qualify!",4.2,62,old
makeup,face,highlighter,CoverGirlVitalist Healthy Glow Highlighter,CoverGirl,Vitalist Healthy Glow Highlighter,5.49,$10.99 ,50.05%,Starshine,,4.1,51,old
makeup,face,,RevlonPhotoReady Candid Natural Finish Anti-Pollution Foundation,Revlon,PhotoReady Candid Natural Finish Anti-Pollution Foundation,5.49,$10.99 ,50.05%,Almond 500,"Buy 1, get 1 at 50% off!",4.2,565,old
makeup,gifts & value sets,,ICONIC LONDONLoose Pigment Powder,ICONIC LONDON,Loose Pigment Powder,45.5,$65.00 ,30.00%,Doll (vibrant & colorful),,4,3,old
nails,nail polish,,OPIMexico City Nail Lacquer Collection,OPI,Mexico City Nail Lacquer Collection,2.63,$10.50 ,74.95%,Suzi's Slinging Mezcal (gold),,4.6,120,old
nails,nail polish,,OPIMexico City Infinite Shine Collection,OPI,Mexico City Infinite Shine Collection,3.25,$13.00 ,75.00%,Suzi's Slinging Mezcal (gold),,4.1,31,old
bath & body,suncare,,Australian GlowOne Hour Express Self Tan Mousse,Australian Glow,One Hour Express Self Tan Mousse,24.99,$29.99 ,16.67%,Dark,Free Gift with Purchase!,4.7,127,old
bath & body,suncare,,Australian GlowOne Hour Express Self Tan Mousse Refill,Australian Glow,One Hour Express Self Tan Mousse Refill,22.99,$26.99 ,14.82%,Dark,Free Gift with Purchase!,4.9,18,old
hair,hair color,,IGKHouse Party Hair + Body Glitter Stick,IGK,House Party Hair + Body Glitter Stick,13.5,$18.00 ,25.00%,"Cosmic Violet, 24K Gold",,3,2,old
makeup,lips,,MaybellineColor Sensational The Mattes Lipstick,Maybelline,Color Sensational The Mattes Lipstick,7.99,$8.49 ,5.89%,"Naked Coral, Toasted Truffle, Peach Buff, Raw Chocolate, Honey Pink, Almond Rose","Buy 1, get 1 at 50% off!",4.5,730,old
makeup,eyes,eyeliner,MaybellineEye Studio Master Precise Liquid Eyeliner,Maybelline,Eye Studio Master Precise Liquid Eyeliner,7.99,$8.99 ,11.12%,Matte Black,"Buy 1, get 1 at 50% off!",3.9,818,old
makeup,face,,Urban Decay CosmeticsNaked Skin Weightless Complete Coverage Concealer,Urban Decay Cosmetics,Naked Skin Weightless Complete Coverage Concealer,14.5,$20.97 ,30.85%,"Dark Neutral, Extra Deep Neutral, Dark Golden, Dark Warm, Deep Neutral",Free Gift with Purchase!,4.5,2908,old
makeup,eyes,,MaybellineEye Studio Brow Define and Fill Duo,Maybelline,Eye Studio Brow Define and Fill Duo,3.99,$7.99 ,50.06%,Light Blonde,"Buy 1, get 1 at 50% off!",4.3,365,old
makeup,gifts & value sets,makeup palettes,Makeup RevolutionReloaded Palette,Makeup Revolution,Reloaded Palette,3.99,$8.00 ,50.12%,Jewelled,,4.2,545,old
makeup,lips,lipstick,CatricePure Pigments Lip Lacquer,Catrice,Pure Pigments Lip Lacquer,3.99,$7.99 ,50.06%,"060 Deep Sea Navy, 080 Lavender Pop",,4,3,old
makeup,eyes,,J.Cat BeautyPerfect Brow Duo Pencil,J.Cat Beauty,Perfect Brow Duo Pencil,1.99,$3.99 ,50.13%,Nutmeg,,3.8,41,old
makeup,lips,,Too FacedMelted Matte Liquid Lipstick,Too Faced,Melted Matte Liquid Lipstick,14.7,$21.00 ,30.00%,Granny Panties,,4.5,3747,old
makeup,lips,,SmashboxAlways On Longwear Matte Liquid Lipstick,Smashbox,Always On Longwear Matte Liquid Lipstick,17.97,$24.00 ,25.13%,Bang Bang (yellow red),,4.3,1126,new
makeup,eyes,eyeshadow,LancômeOmbre Hypnôse Stylo Shadow Stick Matte Metallics,Lancôme,Ombre Hypnôse Stylo Shadow Stick Matte Metallics,17.97,$25.00 ,28.12%,34 Monogold,Free Gift with Purchase!,4.5,97,old
nails,nail care,,OrlyBreathable Treatment + Color,Orly,Breathable Treatment + Color,8.99,$9.99 ,10.01%,Fresh Start (pastel mint crème),,4.1,303,old
makeup,face,,e.l.f. CosmeticsFlawless Finish Foundation,e.l.f. Cosmetics,Flawless Finish Foundation,2.97,$6.00 ,50.50%,Caramel (deep-tan w/ neutral undertones - online only),Free Gift with Purchase!,3.7,397,old
makeup,eyes,,LashFoodBrowFood Aqua Brow Powder + Pencil Duo,LashFood,BrowFood Aqua Brow Powder + Pencil Duo,12.5,$17.97 ,30.44%,Charcoal,,4.2,630,old
bath & body,bath & body accessories,,Hollywood Fashion SecretsBeauty Smarts Silicone Contour Cups Adhesive Bra,Hollywood Fashion Secrets,Beauty Smarts Silicone Contour Cups Adhesive Bra,12.5,$17.47 ,28.45%,B,,1.2,13,old
makeup,eyes,eyeliner,CoverGirlKaty Kat Eyeliner,CoverGirl,Katy Kat Eyeliner,4.49,$8.99 ,50.06%,Kitty WhisPURR,,2.3,78,old
makeup,eyes,eyeliner,L'OréalInfallible Pro-Last Waterproof Pencil Eyeliner,L'Oréal,Infallible Pro-Last Waterproof Pencil Eyeliner,4.49,$8.99 ,50.06%,Burgundy,"Buy 2, get 1 FREE - Add 3 items to qualify!",3.5,172,old
makeup,face,,StilaStay All Day Foundation & Concealer,Stila,Stay All Day Foundation & Concealer,20,$27.97 ,28.49%,Espresso 15,,4,214,old
makeup,face,,Urban Decay CosmeticsNaked Skin Weightless Ultra Definition Liquid Makeup,Urban Decay Cosmetics,Naked Skin Weightless Ultra Definition Liquid Makeup,20,$27.97 ,28.49%,"8 Warm/Medium-Dark (medium-dark w/ warm golden undertone), 7.75 Medium Dark (medium-dark w/subtle pink undertone), 9.75 Dark Beige (dark beige w/golden undertone), 11 Warm/Dark (dark w/ golden undertone), 9 Warm/Medium-Dark (medium-dark w/ rich golden undertone), 8.75 Dark (dark w/golden undertone), 7.5 Cool/Medium-Dark (medium-dark w/ neutral pink undertone)",Free Gift with Purchase!,4.4,5113,old
makeup,lips,lipstick,J.Cat BeautyFlash Metal Metallic Matte Lip,J.Cat Beauty,Flash Metal Metallic Matte Lip,2.49,$4.99 ,50.10%,"Aphrodite's Scent (orange), Rainy Day In The Car (neutral)",,4.1,12,old
makeup,lips,,Lottie London#HOLO Duo Chrome Lip Gloss,Lottie London,#HOLO Duo Chrome Lip Gloss,3.97,$3.97 ,,Iconic (purple/ silver duo),,4.6,33,old
makeup,lips,,Lottie LondonLip Foil Iridescent Duo Chrome Lip Topper,Lottie London,Lip Foil Iridescent Duo Chrome Lip Topper,3.97,$6.49 ,38.83%,Sinner (rose/gold),,4.2,6,old
skin care,treatment & serums,,NufaceHydrating Leave-On Gel Primer,Nuface,Hydrating Leave-On Gel Primer,6.97,$6.97 - $48.00,,2.0 oz,,4.3,50,old
skin care,suncare,,Loving TanDeluxe Bronzing Mousse,Loving Tan,Deluxe Bronzing Mousse,34.95,$39.95 ,0.1252,"Dark, Medium",,4,410,old
makeup,eyes,,Ofra CosmeticsBo$$y Eyes Liquid Eyeshadow,Ofra Cosmetics,Bo$$y Eyes Liquid Eyeshadow,10.5,$15.00 ,30.00%,"Rozay (rose gold), Penthouse (sparkling champagne), Five Star (gold metal)",,3.3,3,old
skin care,eye treatments,,ULTASoothing Glitter Gel Eye Mask,ULTA,Soothing Glitter Gel Eye Mask,4,$8.00 ,0.5,Pink,,4.3,18,old
makeup,face,highlighter,Dose Of ColorsDose Of Colors x iluvsarahii Bathe Highlighter,Dose Of Colors,Dose Of Colors x iluvsarahii Bathe Highlighter,19.6,$28.00 ,30.00%,Bathe (peach / pink),,4.6,43,old
makeup,eyes,eyeliner,Sleek MakeUPLifeproof 12 Hour Wear Metallic Eyeliner,Sleek MakeUP,Lifeproof 12 Hour Wear Metallic Eyeliner,3.49,$6.99 ,50.07%,Misinformation (blue),"Buy 1, get 1 at 50% off!",4.3,683,old
makeup,face,,RevlonPhotoReady Candid Natural Finish Anti-Pollution Foundation,Revlon,PhotoReady Candid Natural Finish Anti-Pollution Foundation,2.74,$10.99 ,75.07%,"Espresso 560, Walnut 540","Buy 1, get 1 at 50% off!",4.2,565,old
makeup,face,,Urban Decay CosmeticsNaked Skin Weightless Ultra Definition Liquid Makeup,Urban Decay Cosmetics,Naked Skin Weightless Ultra Definition Liquid Makeup,27.97,$27.97 ,,12.5 (dark w/subtle pink undertone),Free Gift with Purchase!,4.4,5113,old
makeup,face,,NYX Professional MakeupStay Matte But Not Flat Liquid Foundation,NYX Professional Makeup,Stay Matte But Not Flat Liquid Foundation,3.75,$7.50 ,50.00%,Chestnut,,3.7,1332,old
makeup,lips,,Lipstick QueenExact Match Lip Liner,Lipstick Queen,Exact Match Lip Liner,9,$12.97 ,30.61%,Red (red),,4.5,86,old
