product_id,price,options,sku_id,brand,product,url,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
pimprod2016427,4.99,"Black Brown, Light Blonde",2569332,Maybelline,Brow Extensions,https://www.ulta.com/p/brow-extensions-pimprod2016427,3.70,428,,makeup,eyes,eyebrows,$9.99,old,0.5005
xlsImpprod3490149,4.99,Mahogany,2529473,Maybelline,Instant Age Rewind Eraser Dark Circle Treatment Concealer,https://www.ulta.com/p/instant-age-rewind-eraser-dark-circle-treatment-concealer-xlsImpprod3490149,4.20,3467,,makeup,face, ,$9.99,old,0.5005
pimprod2016956,2.49,Down To Earth,2566561,Essence,Stay 8H Matte Liquid Lipstick,https://www.ulta.com/p/stay-8h-matte-liquid-lipstick-pimprod2016956,3.60,39,,makeup,lips, ,$4.99,old,0.501
pimprod2021750,12.99,Bronzer,2574300,Physicians Formula,Matte Monoi Butter Bronzer,https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750,3.80,56,,makeup,face, ,$15.99,old,0.1876
pimprod2022144,2.5,Gold Dust,2572701,Pacifica,Bio Glitter Translucent Topper,https://www.ulta.com/p/bio-glitter-translucent-topper-pimprod2022144,4.70,30,,nails,nail polish, ,$10.00,old,0.75
pimprod2015135,2.5,"Just Peachy (light orange with yellow undertones), Namastaybeautiful (light grey), Smokey Road (purple with grey undertones), Mellow Yellow (pastel yellow), Sunny Side Up (light yellow-green pearl), Think Pink (neon pink crème), Crème de la Crème (cream), Morning Mimosa (blood orange crème), Ride The Wave (royal blue shimmer), Nailor's Knot (ocean blue crème), Summer Fun (sunflower yellow glitter)",2573557,Nailtopia,"Plant Based, Bio-Sourced, Chip Free Nail Lacquer",https://www.ulta.com/p/plant-based-bio-sourced-chip-free-nail-lacquer-pimprod2015135,4.70,1391,,nails,nail polish, ,$10.00,old,0.75
pimprod2024391,2.5,"Fame & Fortune (pearlescent purple), Iconic Darling! (pearlescent grey), Luck & Glory (iridescent sheer blue)",2580657,Sally Hansen,Miracle Gel and Disney's Cruella Collection,https://www.ulta.com/p/miracle-gel-disneys-cruella-collection-pimprod2024391,4.20,17712,,nails,gel nail polish, ,$9.99,old,0.7497
pimprod2028913,2.5,"Wrapped In Love, Under The Tree, Snow What You Want, Gift For Blue, Living In The Presents, Online Shop-Bling",2586776,Sally Hansen,Miracle Gel Holiday Wishlist Collection,https://www.ulta.com/p/miracle-gel-holiday-wishlist-collection-pimprod2028913,3.00,6,,nails,gel nail polish, ,$9.99,old,0.7497
pimprod2029086,2.5,"Meet Me On The Rooftop (purple mauve crème), By The Moonlight (indigo pearl), Champagne Showers (tan crème)",2586242,Red Carpet Manicure,Magical Moments Color Dip Collection,https://www.ulta.com/p/magical-moments-color-dip-collection-pimprod2029086,0.0,,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod12781011,2.5,Red Carpet Reddy (red crème),2236253,Red Carpet Manicure,Red LED Gel Nail Polish Collection,https://www.ulta.com/p/red-led-gel-nail-polish-collection-xlsImpprod12781011,3.90,92,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod12781005,2.5,Wine For The Win,2236242,Red Carpet Manicure,Neutral LED Gel Nail Polish Collection,https://www.ulta.com/p/neutral-led-gel-nail-polish-collection-xlsImpprod12781005,3.60,232,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod12781017,2.5,Mink Coat (bronze shimmer),2283594,Red Carpet Manicure,"Silver, Bronze & Gold LED Gel Nail Polish Collection",https://www.ulta.com/p/silver-bronze-gold-led-gel-nail-polish-collection-xlsImpprod12781017,4.10,59,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod12781007,2.5,"Moment To Shine (pink pearl), Tinsel Town (pink glitter)",2243875,Red Carpet Manicure,Pink LED Gel Nail Polish Collection,https://www.ulta.com/p/pink-led-gel-nail-polish-collection-xlsImpprod12781007,3.50,171,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod12781015,2.5,Poolside Fling (neon teal crème),2283596,Red Carpet Manicure,"Blue, Green & Yellow LED Gel Nail Polish Collection",https://www.ulta.com/p/blue-green-yellow-led-gel-nail-polish-collection-xlsImpprod12781015,3.60,150,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod14481009,2.5,Fresh Start (pastel mint crème),2590340,Orly,Breathable Treatment + Color,https://www.ulta.com/p/breathable-treatment-color-xlsImpprod14481009,4.20,348,,nails,nail care, ,$9.99,old,0.7497
