ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
3266,pimprod2010839,makeup,eyes, ,KKW BEAUTY,Black 1 Eyeliner Pencil,https://www.ulta.com/black-1-eyeliner-pencil?productId=pimprod2010839
3267,xlsImpprod18821133,makeup,eyes, ,e.l.f. Cosmetics,Online Only Precision Liquid Eyeliner,https://www.ulta.com/precision-liquid-eyeliner?productId=xlsImpprod18821133
3268,pimprod2013195,makeup,ulta collection, ,ULTA,Pedal Pusher 4-in-1 Eyeliner Pen,https://www.ulta.com/pedal-pusher-4-in-1-eyeliner-pen?productId=pimprod2013195
3269,xlsImpprod13501029,makeup,eyes, ,L'Oréal,Infallible Matte-Matic Liner,https://www.ulta.com/infallible-matte-matic-liner?productId=xlsImpprod13501029
3270,pimprod2005025,makeup,eyes, ,Wunder2,Super-Stay Liquid Eyeliner,https://www.ulta.com/super-stay-liquid-eyeliner?productId=pimprod2005025
3271,xlsImpprod17901013,makeup,eyes, ,J.Cat Beauty,Rock 'n' Glitz Liquid Eyeliner,https://www.ulta.com/rock-n-glitz-liquid-eyeliner?productId=xlsImpprod17901013
3272,pimprod2004098,makeup,eyes, ,jane iredale,Mystikol Powdered Eyeliner,https://www.ulta.com/mystikol-powdered-eyeliner?productId=pimprod2004098
3273,xlsImpprod16731053,makeup,eyes, ,Wet n Wild,MegaSlim Skinny Tip Eyeliner,https://www.ulta.com/megaslim-skinny-tip-eyeliner?productId=xlsImpprod16731053
3274,pimprod2006133,makeup,eyes, ,Awake Beauty,Eye Opener Brightening Liner,https://www.ulta.com/eye-opener-brightening-liner?productId=pimprod2006133
3275,xlsImpprod16371015,makeup,gifts & value sets, ,CoverGirl,Perfect Point Plus Eyeliner Value Pack,https://www.ulta.com/perfect-point-plus-eyeliner-value-pack?productId=xlsImpprod16371015
3276,xlsImpprod4540075,makeup,eyes, ,Essence,Super Fine Eyeliner Pen,https://www.ulta.com/super-fine-eyeliner-pen?productId=xlsImpprod4540075
3277,xlsImpprod3020049,makeup,eyes, ,NYX Professional Makeup,Super Skinny Eye Marker,https://www.ulta.com/super-skinny-eye-marker?productId=xlsImpprod3020049
3278,xlsImpprod12521189,makeup,eyes, ,Clarins,3 Dot Liner,https://www.ulta.com/3-dot-liner?productId=xlsImpprod12521189
3279,xlsImpprod15251339,makeup,eyes, ,NARS,Stylo Eyeliner,https://www.ulta.com/stylo-eyeliner?productId=xlsImpprod15251339
3280,pimprod2004219,makeup,eyes, ,beautyblender,Liner.Designer,https://www.ulta.com/linerdesigner?productId=pimprod2004219
3281,pimprod2003288,makeup,eyes, ,Physicians Formula,Eye Boost Gel Eyeliner Trio,https://www.ulta.com/eye-boost-gel-eyeliner-trio?productId=pimprod2003288
3282,pimprod2013566,makeup,eyes, ,Essence,Liquid Ink Waterproof Eyeliner,https://www.ulta.com/liquid-ink-waterproof-eyeliner?productId=pimprod2013566
3283,xlsImpprod16241256,makeup,eyes, ,Lottie London,AM To PM Kohl Eyeliner Pencil,https://www.ulta.com/am-pm-kohl-eyeliner-pencil?productId=xlsImpprod16241256
3284,pimprod2006668,makeup,eyes, ,Maybelline,Line Express Eyeliner Pencil,https://www.ulta.com/line-express-eyeliner-pencil?productId=pimprod2006668
