product_id,price,options,brand,product,url,rating,no_of_reviews,main_category,sub_category,sub_sub_category,offers,old_price,age,percent_off
pimprod2005671,25.2,DPG4 Coffee (rich brown skin w/ golden undertones),PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,4.00,401,makeup,face, ,,$36.00,old,0.3
pimprod2006358,12.0,Vol. 3 (champagne),Juvia's Place,The Tribe Highlighter,https://www.ulta.com/tribe-highlighter?productId=pimprod2006358,4.50,53,makeup,face, ,Free Gift with Purchase!,$15.00,old,0.2
pimprod2007181,28.0,8 (a deep shade w/ a warm undertone),Ofra Cosmetics,Absolute Cover Foundation,https://www.ulta.com/absolute-cover-foundation?productId=pimprod2007181,3.80,38,makeup,face, ,,$40.00,old,0.3
pimprod2007227,4.5,"Rose Sparkling, Red Velvet, Cocoa Powder, Conac Brown, Honey Blast",Holika Holika,Jewel Light Skinny Eye Liner,https://www.ulta.com/jewel-light-skinny-eye-liner?productId=pimprod2007227,1.80,6,makeup,eyes,eyeliner,,$9.00,old,0.5
pimprod2007573,7.49,"Mirage, Restoration",Revolution PRO,Regeneration Palette,https://www.ulta.com/regeneration-palette?productId=pimprod2007573,3.80,14,makeup,gifts & value sets,makeup palettes,,$15.00,old,0.5007
pimprod2008146,17.5,"Rose, Gypsophila",Puremay,Soft Serum Toner,https://www.ulta.com/soft-serum-toner?productId=pimprod2008146,5.00,5,skin care,korean skin care, ,,$35.00,old,0.5
pimprod2008808,11.76,"Spread Your Wings (clear gold sparkle), Become a Butterfly (clear rose golden), Fly Away (clear pink sparkle), Join The Dance (peachy nude gold)",ZOEVA,Limited Edition Melody Lip Gloss,https://www.ulta.com/limited-edition-melody-lip-gloss?productId=pimprod2008808,4.30,4,makeup,lips, ,,$16.80,old,0.3
pimprod2008986,5.25,Rub-a-Pub-Pub (coal gray),OPI,"Black, White, & Gray Nail Lacquer Collection",https://www.ulta.com/black-white-gray-nail-lacquer-collection?productId=pimprod2008986,4.40,27,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2008998,5.25,OPI Grabs the Unicorn by the Horn (captivating soft blue),OPI,"Nail Lacquer Nail Polish, Blues",https://www.ulta.com/nail-lacquer-nail-polish-blues?productId=pimprod2008998,4.50,124,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2009004,5.25,Edinburgh-er & Tatties (warm beige),OPI,"Nail Lacquer Nail Polish, Nudes/Neutrals",https://www.ulta.com/nail-lacquer-nail-polish-nudesneutrals?productId=pimprod2009004,4.60,76,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2009009,5.25,"Boys Be Thistle-ing at Me (purple), Good Girls Gone Plaid (alluring amethyst)",OPI,"Nail Lacquer Nail Polish, Purples",https://www.ulta.com/nail-lacquer-nail-polish-purples?productId=pimprod2009009,3.50,22,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2009010,5.25,A Little Guilt Under The Kilt (amazing red),OPI,"Nail Lacquer Nail Polish, Reds",https://www.ulta.com/nail-lacquer-nail-polish-reds?productId=pimprod2009010,4.50,29,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2010198,5.25,Things I've Seen in Aber-green (edgy green),OPI,"Nail Lacquer Nail Polish, Oranges/Yellows/Greens",https://www.ulta.com/nail-lacquer-nail-polish-orangesyellowsgreens?productId=pimprod2010198,3.90,22,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$10.50,old,0.5
pimprod2010189,45.5,Doll (vibrant & colorful),ICONIC LONDON,Loose Pigment Powder,https://www.ulta.com/loose-pigment-powder?productId=pimprod2010189,4.00,3,makeup,gifts & value sets, ,,$65.00,old,0.3
pimprod2013580,54.5,1.0 oz,Clinique,Even Better Clinical Radical Dark Spot Corrector + Interrupter,https://www.ulta.com/even-better-clinical-radical-dark-spot-corrector-interrupter?productId=pimprod2013580,4.10,35,skin care,treatment & serums, ,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",$54.50 - $85.00,new,
pimprod2014445,24.99,Dark,Australian Glow,One Hour Express Self Tan Mousse,https://www.ulta.com/one-hour-express-self-tan-mousse?productId=pimprod2014445,4.70,127,bath & body,suncare, ,,$29.99,old,0.1667
pimprod2014454,22.99,Dark,Australian Glow,One Hour Express Self Tan Mousse Refill,https://www.ulta.com/one-hour-express-self-tan-mousse-refill?productId=pimprod2014454,4.90,18,bath & body,suncare, ,,$26.99,old,0.1482
pimprod2015149,13.5,24K Gold,IGK,House Party Hair + Body Glitter Stick,https://www.ulta.com/house-party-hair-body-glitter-stick?productId=pimprod2015149,3.00,2,hair,hair color, ,Free Gift with Purchase!,$18.00,old,0.25
pimprod2015579,3.75,"No-Holds Barb (red jelly), Can't Stop Branchin' (turquoise satin), Glitter-iffic (silver holographic glitter), It's All Techno (chartreuse creme)",China Glaze,Trolls World Tour Collection,https://www.ulta.com/trolls-world-tour-collection?productId=pimprod2015579,2.80,21,nails,nail polish, ,"Buy 1, get 1 at 50% off!",$7.50,new,0.5
xlsImpprod11911129,14.5,"Dark Neutral, Deep Neutral, Extra Deep Neutral",Urban Decay Cosmetics,Naked Skin Weightless Complete Coverage Concealer,https://www.ulta.com/naked-skin-weightless-complete-coverage-concealer?productId=xlsImpprod11911129,4.50,2917,makeup,face, ,,$20.97,old,0.3085
xlsImpprod12051091,15.4,Black,Eyeko,Skinny Liquid Vegan Eyeliner,https://www.ulta.com/skinny-liquid-vegan-eyeliner?productId=xlsImpprod12051091,4.50,376,makeup,eyes,eyeliner,,$22.00,old,0.3
xlsImpprod12651003,3.99,Light Blonde,Maybelline,Eye Studio Brow Define and Fill Duo,https://www.ulta.com/eye-studio-brow-define-fill-duo?productId=xlsImpprod12651003,4.30,365,makeup,eyes, ,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",$7.99,old,0.5006
xlsImpprod13361003,1.99,Nutmeg,J.Cat Beauty,Perfect Brow Duo Pencil,https://www.ulta.com/perfect-brow-duo-pencil?productId=xlsImpprod13361003,3.80,41,makeup,eyes, ,,$3.99,old,0.5013
xlsImpprod14411007,17.97,Bang Bang (yellow red),Smashbox,Always On Longwear Matte Liquid Lipstick,https://www.ulta.com/always-on-longwear-matte-liquid-lipstick?productId=xlsImpprod14411007,4.30,1129,makeup,lips, ,,$24.00,old,0.2513
xlsImpprod14481009,8.99,Fresh Start (pastel mint crème),Orly,Breathable Treatment + Color,https://www.ulta.com/breathable-treatment-color?productId=xlsImpprod14481009,4.10,304,nails,nail care, ,"Buy 1, get 1 at 50% off!",$9.99,old,0.1001
xlsImpprod14541123,2.97,Caramel (deep-tan w/ neutral undertones - online only),e.l.f. Cosmetics,Flawless Finish Foundation,https://www.ulta.com/flawless-finish-foundation?productId=xlsImpprod14541123,3.70,398,makeup,face, ,,$6.00,old,0.505
