product_id,main_category,sub_category,sub_sub_category,name,brand,product,price,old_price,percent_off,options,offers,rating,no_of_reviews,age
pimprod2009495,makeup,lips,lip gloss,Petite n Pretty 10K Shine Lip Gloss,Petite n Pretty,10K Shine Lip Gloss,14.0,$16.00,0.125,"Shell Shocked (holographic lilac), Glowing Up (sheer bright pink), Gia Pink (sheer shimmer pink), Glow Down (nude + pink sparkle), Diamond Heist (clear multi sparkle)",Free Gift with Purchase!,4.80,62,old
pimprod2018114,makeup,makeup palettes, ,KVD Beauty Shade + Light Powder Contour Palette Refill,KVD Beauty,Shade + Light Powder Contour Palette Refill,14.0,$16.00,0.125,Levitation (highlight powder - soft peach), ,4.60,71,old
pimprod2010473,makeup,gifts & value sets, ,Anastasia Beverly Hills Ombré Brow Kit,Anastasia Beverly Hills,Ombré Brow Kit,21.0,$30.00,0.3,"Soft Brown (for light brown hair with warm/cool undertones), Dark Brown (for dark brown hair with a warm undertone), Ebony (for black hair with a warm undertone), Medium Brown (for medium brown hair with cool/ash undertones)", ,4.10,53,old
xlsImpprod4450331,men,hair, ,"Nioxin Cleanser Shampoo, System 1 (Fine/Normal to Light Thinning, Natural Hair)",Nioxin,"Cleanser Shampoo, System 1 (Fine/Normal to Light Thinning, Natural Hair)",21.0,$21.00 - $43.50, ,10.1 oz,2 for $30!,4.30,665,old
xlsImpprod4450347,hair,shampoo & conditioner,shampoo,"Nioxin Cleanser Shampoo, System 5 (Chemically Treated/Bleached Hair/Normal to Light Thinning)",Nioxin,"Cleanser Shampoo, System 5 (Chemically Treated/Bleached Hair/Normal to Light Thinning)",21.0,$21.00 - $43.50, ,10.1 oz,2 for $30!,4.30,252,old
xlsImpprod4450335,men,hair, ,"Nioxin Cleanser Shampoo, System 2 (Fine/Progressed Thinning, Natural Hair)",Nioxin,"Cleanser Shampoo, System 2 (Fine/Progressed Thinning, Natural Hair)",21.0,$21.00 - $43.50, ,10.1 oz,2 for $30!,4.40,805,old
xlsImpprod4450339,hair,shampoo & conditioner, ,"Nioxin Cleanser Shampoo, System 3 (Color Treated Hair/Normal to Light Thinning)",Nioxin,"Cleanser Shampoo, System 3 (Color Treated Hair/Normal to Light Thinning)",21.0,$21.00 - $43.50, ,10.1 oz,2 for $30!,4.50,759,old
xlsImpprod4450351,hair,shampoo & conditioner, ,"Nioxin Cleanser Shampoo, System 6 (Chemically Treated/Bleached Hair/Progressed Thinning)",Nioxin,"Cleanser Shampoo, System 6 (Chemically Treated/Bleached Hair/Progressed Thinning)",21.0,$21.00 - $43.50, ,10.1 oz,2 for $30!,4.40,209,old
pimprod2012502,makeup,face, ,L'Oréal Infallible Tinted Loose Setting Powder,L'Oréal,Infallible Tinted Loose Setting Powder,6.49,$12.99,0.5004,"Translucent Light, Translucent Medium", ,4.60,178,old
pimprod2016199,skin care,moisturizers, ,Thayers Premium Facial Mist,Thayers,Premium Facial Mist,6.49,$12.99,0.5004,"Antioxidant Pomegranate Acai, Awakening Coconut Rose, Calming Cucumber Watermelon", ,4.50,37,old
pimprod2012210,makeup,lips,lipstick,Revlon Super Lustrous Glass Shine Lipstick,Revlon,Super Lustrous Glass Shine Lipstick,4.99,$9.99,0.5005,Love Is On, ,4.60,2054,old
pimprod2013067,makeup,face, ,Makeup Revolution Conceal & Fix Ultimate Coverage Concealer,Makeup Revolution,Conceal & Fix Ultimate Coverage Concealer,4.99,$10.00,0.501,"Deep Dark, Deep Tan, Tan", ,3.80,83,old
pimprod2013900,makeup,face, ,Makeup Revolution Conceal & Define Infinite XL Concealer,Makeup Revolution,Conceal & Define Infinite XL Concealer,4.99,$10.00,0.501,"C3 (fair skin tones w/ cool undertone), C6 (light/medium skin tones w/ neutral undertone), C15 (dark skin tones w/ red undertone), C18 (dark skin tones w/ warm undertone), C8 (medium skin tones w/ warm undertone), C9 (medium skin tones w/ peach undertone), C7 (medium skin tones w/ neutral undertone), C16 (dark skin tones w/ warm undertone)", ,4.00,49,old
pimprod2016427,makeup,eyes,eyebrows,Maybelline Brow Extensions,Maybelline,Brow Extensions,4.99,$9.99,0.5005,Light Blonde, ,3.70,422,old
xlsImpprod11861075,makeup,eyes,eyebrows,L'Oréal Brow Stylist Designer Eyebrow Pencil,L'Oréal,Brow Stylist Designer Eyebrow Pencil,4.99,$9.99,0.5005,"Blonde, Brunette", ,3.90,126,old
pimprod2021685,makeup,face, ,Makeup Revolution Illuminate & Glow Liquid Highlighter,Makeup Revolution,Illuminate & Glow Liquid Highlighter,7.49,$15.00,0.5007,Gold, ,4.00,3,old
xlsImpprod17161515,makeup,face, ,L'Oréal True Match Lumi Glow Amour Glow Boosting Drops,L'Oréal,True Match Lumi Glow Amour Glow Boosting Drops,7.49,$14.99,0.5003,Daybreak (cool glow), ,3.70,26,old
pimprod2012570,makeup,lips,lip gloss,Makeup Revolution Lip Vinyl,Makeup Revolution,Lip Vinyl,3.49,$7.00,0.5014,"Bubblegum (bubblegum pink), Gone Rogue (brown nude), Ballerina (deep nude)", ,3.90,17,old
pimprod2013500,makeup,lips, ,Makeup Revolution Satin Kiss Lipstick,Makeup Revolution,Satin Kiss Lipstick,3.49,$7.00,0.5014,"Fling (brown nude), Cupcake (light baby pink), TGIF (dark red toned brown), Decadence (cherry red), Ruby (deep ruby red), Cutie (vibrant bright pink)", ,4.00,33,old
pimprod2014406,makeup,eyes,eyebrows,Makeup Revolution Brow Sculpt Kit,Makeup Revolution,Brow Sculpt Kit,3.49,$7.00,0.5014,"Dark, Medium", ,4.00,24,old
pimprod2017928,makeup,lips, ,Makeup Revolution Velvet Kiss Lip Crayon,Makeup Revolution,Velvet Kiss Lip Crayon,3.49,$7.00,0.5014,"Chauffeur (light brown nude), Fling (brown nude), White Wedding (pink nude), Cupcake (baby pink), Icon (orange nude), Decadence (cherry red), Heart Race (peach nude), Ruby (classic red), Rosé (dark rose), Vampire (dark red)", ,4.00,13,old
pimprod2021676,makeup,lips,lip tints & balms,Makeup Revolution Dream Kiss Lip Balm,Makeup Revolution,Dream Kiss Lip Balm,3.49,$7.00,0.5014,"Watermelon Heaven, Cravin Coconuts, Pineapple Crush", ,3.40,13,old
pimprod2025889,makeup,eyes,eyeliner,Makeup Revolution Neon Heat Colored Liquid Eyeliner,Makeup Revolution,Neon Heat Colored Liquid Eyeliner,3.49,$7.00,0.5014,Lemon Yellow (bright yellow), ,2.80,5,old
pimprod2013499,makeup,lips, ,Makeup Revolution Satin Kiss Lipliner,Makeup Revolution,Satin Kiss Lipliner,2.99,$6.00,0.5017,"Vampire (vampy dark red), TGIF (dark red toned brown), Chauffeur (light brown toned nude), Decadence (cherry red), Icon (orange toned nude), Ruby (deep ruby red), Cutie (vibrant bright pink)", ,4.10,39,old
pimprod2012214,makeup,lips, ,Revlon Super Lustrous Lipstick The Luscious Mattes,Revlon,Super Lustrous Lipstick The Luscious Mattes,8.49,$9.49,0.1054,"Kiss & Tell, On Fire, Onyx, Hot Date, Getting Serious, Rhythm & Blues, Moonlight, Spiced Cocoa", ,4.40,909,old
pimprod2016144,bath & body,suncare, ,Makeup Revolution Radiance Shimmer Oil,Makeup Revolution,Radiance Shimmer Oil,8.49,$17.00,0.5006,"Gold (medium skintones), Bronze (medium to dark skintones)", ,3.50,2,old
