ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
994,xlsImpprod18321215,hair,styling products,heat protectant,Neuma,neuStyling Extender,https://www.ulta.com/neustyling-extender?productId=xlsImpprod18321215
995,xlsImpprod18321241,hair,styling products,hairspray,Neuma,neuControl Hairspray,https://www.ulta.com/neucontrol-hairspray?productId=xlsImpprod18321241
996,pimprod2012635,hair,styling products,heat protectant,Beachwaver Co.,Travel Size Great Barrier Heat Protectant Hairspray,https://www.ulta.com/travel-size-great-barrier-heat-protectant-hairspray?productId=pimprod2012635
997,xlsImpprod18321205,hair,styling products,smoothing,Neuma,Travel Size neuStyling Smoothing Crème,https://www.ulta.com/travel-size-neustyling-smoothing-creme?productId=xlsImpprod18321205
998,pimprod2005646,hair,styling products,heat protectant,Brite,Finishing Crème For Blonde Hair,https://www.ulta.com/finishing-creme-blonde-hair?productId=pimprod2005646
999,pimprod2010321,hair,styling products,hairspray,Keratin Complex,Firm Hold Hairspray,https://www.ulta.com/firm-hold-hairspray?productId=pimprod2010321
1000,xlsImpprod10711325,men,hair, ,Every Man Jack,Pomade,https://www.ulta.com/pomade?productId=xlsImpprod10711325
1001,xlsImpprod18321245,hair,styling products,gloss & shine,Neuma,neuSmooth Illuminating Mist,https://www.ulta.com/neusmooth-illuminating-mist?productId=xlsImpprod18321245
1002,xlsImpprod18321213,hair,styling products,heat protectant,Neuma,Travel Size neuStyling Extender,https://www.ulta.com/travel-size-neustyling-extender?productId=xlsImpprod18321213
1003,pimprod2018156,hair,styling products,smoothing,Drybar,Liquid Glass Miracle Smoothing Sealant,https://www.ulta.com/liquid-glass-miracle-smoothing-sealant?productId=pimprod2018156
1004,pimprod2016829,hair,styling products, ,L'ange,Miracle Lightweight Conditioning Shine Spray,https://www.ulta.com/miracle-lightweight-conditioning-shine-spray?productId=pimprod2016829
1005,pimprod2015779,hair,styling products, ,Design Essentials,Almond & Avocado Anti-Frizz & Moisturizing Finishing Spray,https://www.ulta.com/almond-avocado-anti-frizz-moisturizing-finishing-spray?productId=pimprod2015779
1006,pimprod2015631,hair,styling products, ,Alterna,My Hair My Canvas Glow For It Universal Gloss,https://www.ulta.com/my-hair-my-canvas-glow-it-universal-gloss?productId=pimprod2015631
1007,xlsImpprod16541093,hair,styling products, ,Living Proof,Blowout,https://www.ulta.com/blowout?productId=xlsImpprod16541093
1008,pimprod2003347,hair,travel size, ,Redken,Travel Size Frizz Dismiss Rebel Tame Heat Protective Leave In Cream,https://www.ulta.com/travel-size-frizz-dismiss-rebel-tame-heat-protective-leave-in-cream?productId=pimprod2003347
1009,xlsImpprod12541003,hair,treatment, ,Redken,One United Multi-Benefit Treatment Spray,https://www.ulta.com/one-united-multi-benefit-treatment-spray?productId=xlsImpprod12541003
1010,xlsImpprod17211141,hair,treatment, ,Kenra Professional,Travel Size Platinum Luxe One Leave-In,https://www.ulta.com/travel-size-platinum-luxe-one-leave-in?productId=xlsImpprod17211141
1011,pimprod2003330,hair,treatment, ,Redken,Frizz Dismiss Rebel Tame Heat Protective Leave In Cream,https://www.ulta.com/frizz-dismiss-rebel-tame-heat-protective-leave-in-cream?productId=pimprod2003330
1012,xlsImpprod4730019,hair,treatment, ,Chi,Silk Infusion Silk Reconstructing Complex,https://www.ulta.com/silk-infusion-silk-reconstructing-complex?productId=xlsImpprod4730019
1013,pimprod2010526,hair,styling products, ,Curlsmith,Double Cream Deep Quencher,https://www.ulta.com/double-cream-deep-quencher?productId=pimprod2010526
1014,xlsImpprod18751109,hair,treatment, ,SheaMoisture,Sugarcane Extract & Meadowfoam Seed Silicone Free Leave-In,https://www.ulta.com/sugarcane-extract-meadowfoam-seed-silicone-free-leave-in?productId=xlsImpprod18751109
1015,pimprod2016539,hair,treatment, ,Bumble and bumble,Surf Styling Leave-In,https://www.ulta.com/surf-styling-leave-in?productId=pimprod2016539
1016,pimprod2015430,hair,treatment, ,The Mane Choice,Prickly Pear Paradise Leave-In Conditioning Cream,https://www.ulta.com/prickly-pear-paradise-leave-in-conditioning-cream?productId=pimprod2015430
1017,pimprod2015429,hair,treatment, ,The Mane Choice,Prickly Pear Paradise Minty Scalp Purifying Spray,https://www.ulta.com/prickly-pear-paradise-minty-scalp-purifying-spray?productId=pimprod2015429
1018,xlsImpprod3780021,hair,styling products, ,Ouidad,Clear Control Pomade,https://www.ulta.com/clear-control-pomade?productId=xlsImpprod3780021
1019,xlsImpprod18591017,men,hair, ,Baxter of California,Clay Pomade,https://www.ulta.com/clay-pomade?productId=xlsImpprod18591017
1020,pimprod2015896,hair,styling products, ,Aquage,Precision Texturizing Flexible Wax,https://www.ulta.com/precision-texturizing-flexible-wax?productId=pimprod2015896
1021,pimprod2016671,hair,styling products, ,Not Your Mother's,Beach Babe Texturizing Dry Finish Spray,https://www.ulta.com/beach-babe-texturizing-dry-finish-spray?productId=pimprod2016671
1022,pimprod2016283,hair,styling products, ,Sexy Hair,Big Sexy Hair High Standards Volumizing Blow Out Spray,https://www.ulta.com/big-sexy-hair-high-standards-volumizing-blow-out-spray?productId=pimprod2016283
