product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,offers,options,main_category,sub_category,sub_sub_category,sale_price
pimprod2015911,2024344,CHANEL,ALLURE HOMME Eau de Toilette Spray,https://www.ulta.com/allure-homme-eau-de-toilette-spray?productId=pimprod2015911,0.0, ,0,$97.00, , ,men,cologne, , 
pimprod2015930,2100393,CHANEL,ALLURE HOMME SPORT Eau de Toilette Spray,https://www.ulta.com/allure-homme-sport-eau-de-toilette-spray?productId=pimprod2015930,0.0, ,0,$77.00 - $97.00, ,2 Sizes,men,cologne, , 
pimprod2016143,2562893,Makeup Revolution,Molten Body Glow,https://www.ulta.com/molten-body-glow?productId=pimprod2016143,4.80,17,0,$8.49 - $17.00, ,3 Colors,bath & body,suncare, , 
pimprod2016487,2568119,Burberry,Her London Dream Eau de Parfum,https://www.ulta.com/her-london-dream-eau-de-parfum?productId=pimprod2016487,4.30,460,0,$74.00 - $97.00,Free Gift with Purchase!,2 Sizes,fragrance,women's fragrance, , 
pimprod2016569,2569558,Bondi Sands,Self Tanning Foam,https://www.ulta.com/self-tanning-foam?productId=pimprod2016569,4.70,1818,0,$24.00 - $26.00, ,3 Colors,bath & body,suncare, , 
pimprod2016570,2569556,Bondi Sands,Self Tanning Lotion,https://www.ulta.com/self-tanning-lotion?productId=pimprod2016570,4.50,308,0,$24.00 - $26.00, ,3 Colors,bath & body,suncare, , 
pimprod2016780,2566620,Catrice,Glow Squad Highlighter Palette,https://www.ulta.com/glow-squad-highlighter-palette?productId=pimprod2016780,0.0, ,0,$5.99, , ,makeup,gifts & value sets,makeup palettes, 
pimprod2017175,2567523,e.l.f. Cosmetics,"Me, My e.l.f. and Eye",https://www.ulta.com/me-my-elf-eye?productId=pimprod2017175,5.00,2,0,$7.50, , ,makeup,gifts & value sets, , 
pimprod2017773,2568400,Philosophy,Ready. Set. Glow! Trial Set,https://www.ulta.com/ready-set-glow-trial-set?productId=pimprod2017773,4.50,19,0,$49.00, , ,skin care,gifts & value sets, , 
pimprod2017919,2566274,I Heart Revolution,Turkish Delight Mini Chocolate Palette,https://www.ulta.com/turkish-delight-mini-chocolate-palette?productId=pimprod2017919,5.00,3,0,$8.00,2 for $10!, ,makeup,gifts & value sets,makeup palettes, 
pimprod2018114,2571100,KVD Vegan Beauty,Shade + Light Powder Contour Palette Refill,https://www.ulta.com/shade-light-powder-contour-palette-refill?productId=pimprod2018114,4.50,58,0,$14.00 - $16.00, ,6 Colors,makeup,gifts & value sets,makeup palettes, 
pimprod2018160,2571440,SAND & SKY,Tasmanian Spring Water - Splash Serum,https://www.ulta.com/tasmanian-spring-water-splash-serum?productId=pimprod2018160,3.00,1,0,$52.00, , ,skin care,treatment & serums,face serums, 
pimprod2018217,2568606,Bumble and bumble,Travel Size Bb. Hairdresser's Invisible Oil Mask,https://www.ulta.com/travel-size-bb-hairdressers-invisible-oil-mask?productId=pimprod2018217,5.00,1,0,$15.00, , ,hair,travel size, , 
