extra_id,ulta_id,date,price,options,rating,no_of_reviews,offers,url,product_id
14848,14377,08/13/2020,$22.00 - $30.00,2 Sizes,1.00,1.0,,https://www.ulta.com/volcano-bubblegum-jar-candle?productId=pimprod2002583,pimprod2002583
14849,14378,08/13/2020,$10.00,,5.00,2.0,,https://www.ulta.com/volcano-black-mini-jar-candle?productId=pimprod2004170,pimprod2004170
14850,14379,08/13/2020,$2.25,,4.30,21.0,,https://www.ulta.com/crisp-apple-scented-soy-blend-candle?productId=pimprod2007820,pimprod2007820
14851,14380,08/13/2020,$35.00,,5.00,1.0,,https://www.ulta.com/aloha-orchid-reed-diffuser?productId=xlsImpprod17261157,xlsImpprod17261157
14852,14381,08/13/2020,$10.00,,0,,,https://www.ulta.com/volcano-white-mini-jar-candle?productId=pimprod2004172,pimprod2004172
14853,14382,08/13/2020,$10.00,,5.00,1.0,,https://www.ulta.com/volcano-mini-jar-candle?productId=pimprod2004171,pimprod2004171
14854,14383,08/13/2020,$22.00,,5.00,1.0,,https://www.ulta.com/blue-jean-room-spray?productId=xlsImpprod16961780,xlsImpprod16961780
14855,14384,08/13/2020,$10.00,,5.00,1.0,,https://www.ulta.com/blue-jean-mini-jar-candle?productId=pimprod2004169,pimprod2004169
14856,14385,08/13/2020,$22.00,,5.00,1.0,,https://www.ulta.com/aloha-orchid-room-spray?productId=xlsImpprod16961770,xlsImpprod16961770
14857,14386,08/13/2020,$22.00,,1.50,2.0,,https://www.ulta.com/volcano-room-spray?productId=xlsImpprod16961782,xlsImpprod16961782
14858,14387,08/13/2020,$22.00 - $30.00,2 Sizes,5.00,2.0,,https://www.ulta.com/blue-jean-blue-signature-jar-candle?productId=xlsImpprod16961748,xlsImpprod16961748
14859,14388,08/13/2020,$35.00,,4.80,6.0,,https://www.ulta.com/volcano-reed-diffusers?productId=xlsImpprod17261161,xlsImpprod17261161
14860,14389,08/13/2020,$35.00,,3.00,1.0,,https://www.ulta.com/blue-jean-reed-diffuser?productId=xlsImpprod17261159,xlsImpprod17261159
14861,14390,08/13/2020,$10.00,,0,,,https://www.ulta.com/aloha-orchid-mini-jar-candle?productId=pimprod2004168,pimprod2004168
14862,14391,08/13/2020,$8.00,,4.00,2.0,,https://www.ulta.com/grey-terry-eyemask?productId=pimprod2001650,pimprod2001650
14863,14392,08/13/2020,$14.00,,0,,,https://www.ulta.com/flat-iron-cover-black?productId=pimprod2011860,pimprod2011860
14864,14393,08/13/2020,$12.00,,5.00,1.0,,https://www.ulta.com/black-rose-gold-hair-iron-case?productId=pimprod2011239,pimprod2011239
14865,14394,08/13/2020,$50.00 - $88.00,3 Sizes,4.80,2076.0,Free Gift with Purchase!,https://www.ulta.com/acqua-di-gio-eau-de-toilette?productId=fs356346,fs356346
14866,14395,08/13/2020,$77.00 - $145.00,3 Sizes,4.80,448.0,Free Gift with Purchase!,https://www.ulta.com/sauvage-eau-de-toilette?productId=xlsImpprod13611459,xlsImpprod13611459
14867,14396,08/13/2020,$95.00 - $170.00,3 Sizes,4.60,1103.0,Free Gift with Purchase!,https://www.ulta.com/sauvage-eau-de-parfum?productId=xlsImpprod17941005,xlsImpprod17941005
14868,14397,08/13/2020,$70.00 - $118.00,3 Sizes,4.80,161.0,Free Gift with Purchase!,https://www.ulta.com/eros-eau-de-toilette?productId=xlsImpprod5800032,xlsImpprod5800032
14869,14398,08/13/2020,$76.00 - $145.00,3 Sizes,4.80,156.0,Free Gift with Purchase!,https://www.ulta.com/pour-homme-eau-de-toilette?productId=xlsImpprod3400101,xlsImpprod3400101
