product_id,option,price,sale,available,timestamp
pimprod2023497,Dark Brown,30.00,1.0,1.0,
pimprod2023497,Medium Brown,30.00,1.0,1.0,
pimprod2013518,Black Noir,12.00,1.0,1.0,
pimprod2013518,Bronze Beam,12.00,1.0,1.0,
pimprod2013518,Deep Plum,12.00,1.0,1.0,
pimprod2013518,Black Cocoa,12.00,1.0,1.0,
pimprod2013518,Black Blue,7.20,1.0,1.0,
pimprod2013518,Slate Grey,7.20,1.0,1.0,
pimprod2013518,Jeweled Pewter,7.20,1.0,1.0,
pimprod2013518,Rose Glow,12.00,1.0,1.0,
pimprod2013518,Matte Mulberry,12.00,1.0,1.0,
pimprod2013518,Matte Nude,12.00,1.0,1.0,
pimprod2013518,SilverReflex,7.20,1.0,1.0,
pimprod2013518,Matte Sienna,7.20,1.0,1.0,
pimprod2013518,Black Caviar,12.00,1.0,1.0,
pimprod2013518,Pure 24K,7.20,1.0,1.0,
xlsImpprod15361087,Brighten Up,3.25,1.0,0.0,
xlsImpprod15361087,Constellation,3.25,1.0,1.0,
xlsImpprod15361087,Go H.A.M,3.25,1.0,1.0,
xlsImpprod15361087,Gunmetal,3.25,1.0,1.0,
xlsImpprod15361087,Henna,3.25,1.0,1.0,
xlsImpprod15361087,Insomnia,3.25,1.0,1.0,
xlsImpprod15361087,Kryptonite,3.25,1.0,1.0,
xlsImpprod15361087,Magnetic,3.25,1.0,0.0,
xlsImpprod15361087,Metallic Velvet,3.25,1.0,1.0,
xlsImpprod15361087,Nightingale,3.25,1.0,1.0,
xlsImpprod15361087,Old Hollywood,3.25,1.0,1.0,
xlsImpprod15361087,Peacock,3.25,1.0,1.0,
xlsImpprod15361087,Shanghai Sun,3.25,1.0,1.0,
xlsImpprod15361087,Stunner,3.25,1.0,1.0,
xlsImpprod15361087,"Twinkle, Twinkle",3.25,1.0,1.0,
xlsImpprod15361087,Venetian,3.25,1.0,1.0,
xlsImpprod15361087,Vermouth,3.25,1.0,1.0,
pimprod2026324,Billion Dollar Babe (Soft Teal Creme),5.50,0.0,1.0,
pimprod2026324,Blinged Out (Turquoise Shimmer),5.50,0.0,1.0,
pimprod2026324,Champagne Sipping (Tan Shimmer),5.50,0.0,1.0,
