product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,main_category,sub_category,sub_sub_category,sale_price,options,offers
pimprod2013048,2557126,Almay,Skin Perfecting Sheer Pink Comfort Care Primer,https://www.ulta.com/p/skin-perfecting-sheer-pink-comfort-care-primer-pimprod2013048,4.50,841,0,$12.99,makeup,face,face primer,,,
pimprod2019023,2573378,jane iredale,Illuminating Lights Face Palette,https://www.ulta.com/p/illuminating-lights-face-palette-pimprod2019023,4.70,14,0,$69.00,makeup,makeup palettes, ,,,
xlsImpprod14041017,2303530,J.Cat Beauty,Shimmery Powder,https://www.ulta.com/p/shimmery-powder-xlsImpprod14041017,4.60,55,0,$3.45,makeup,face,highlighter,,3 Colors,
pimprod2007359,2548496,Wet n Wild,Photo Focus Water Drop Primer,https://www.ulta.com/p/photo-focus-water-drop-primer-pimprod2007359,4.20,1311,0,$5.99,makeup,face,face primer,,,
pimprod2005660,2546522,Elcie Cosmetics,The Bronzer,https://www.ulta.com/p/bronzer-pimprod2005660,4.40,5,0,$30.00,makeup,face,bronzer,,3 Colors,
pimprod2019329,2570185,Makeup Revolution,Fix & Glow Ultra Glow Primer,https://www.ulta.com/p/fix-glow-ultra-glow-primer-pimprod2019329,3.30,7,0,$12.00,makeup,face,face primer,,,
pimprod2020604,2576108,KIKO Milano,GLITTER BAKED HIGHLIGHTER,https://www.ulta.com/p/glitter-baked-highlighter-pimprod2020604,0.0,,0,$22.00,makeup,face,highlighter,,,
xlsImpprod4930113,2511174,CoverGirl,Outlast Stay Fabulous 3-In-1 Foundation,https://www.ulta.com/p/outlast-stay-fabulous-3-in-1-foundation-xlsImpprod4930113,4.20,2441,0,$11.99,makeup,face,foundation,,,
xlsImpprod13361011,2296129,J.Cat Beauty,Golden Soleil Baked Bronzer,https://www.ulta.com/p/golden-soleil-baked-bronzer-xlsImpprod13361011,3.70,27,0,$7.99,makeup,face,bronzer,,2 Colors,
xlsImpprod16241082,2514320,Lottie London,Shimmer Squad Powder Highlighter Quad,https://www.ulta.com/p/shimmer-squad-powder-highlighter-quad-xlsImpprod16241082,4.60,28,0,$10.99,makeup,makeup palettes, ,,,
pimprod2008839,2550352,COVER FX,Crystal-Infused Elixir Mist Rose Quartz + Defense,https://www.ulta.com/p/crystal-infused-elixir-mist-rose-quartz-defense-pimprod2008839,4.50,15,0,$20.00,skin care,cleansers,toner,,,
pimprod2005658,2546546,Elcie Cosmetics,The Eclipse Highlighter,https://www.ulta.com/p/eclipse-highlighter-pimprod2005658,3.80,16,0,$32.00,makeup,face,highlighter,,2 Colors,
pimprod2022204,2579249,BLK/OPL,TRUE COLOR Pore Perfecting Crème Powder Foundation,https://www.ulta.com/p/true-color-pore-perfecting-creme-powder-foundation-pimprod2022204,2.50,2,0,$11.95,makeup,face,foundation,,8 Colors,
pimprod2016985,2562965,I Heart Revolution,Tasty Avocado Priming Oil,https://www.ulta.com/p/tasty-avocado-priming-oil-pimprod2016985,4.10,10,1,$15.00,makeup,face,face primer,$7.50,,
xlsImpprod16731061,2518201,Wet n Wild,PhotoFocus Concealer,https://www.ulta.com/p/photofocus-concealer-xlsImpprod16731061,4.20,3342,0,$4.49,makeup,face,concealer,,,
pimprod2024056,2582481,KIKO Milano,Dolce Diva Fresh Feel Transparent Setting Powder,https://www.ulta.com/p/dolce-diva-fresh-feel-transparent-setting-powder-pimprod2024056,0.0,,0,$17.00,makeup,face,setting spray & powder,,,
pimprod2015524,2561856,PÜR,CBD Glass Glow Highlighter,https://www.ulta.com/p/cbd-glass-glow-highlighter-pimprod2015524,4.60,5,0,$28.00,makeup,face,highlighter,,,
pimprod2018680,2571839,XX Revolution,Glow Fixx Brightening Primer,https://www.ulta.com/p/glow-fixx-brightening-primer-pimprod2018680,0.0,,0,$15.00,makeup,face,face primer,,,
pimprod2017123,2566503,CoverGirl,TruBlend So Flushed High Pigment Bronzer In Sunset Glitz,https://www.ulta.com/p/trublend-so-flushed-high-pigment-bronzer-in-sunset-glitz-pimprod2017123,4.50,426,0,$10.99,makeup,face,bronzer,,,
pimprod2005656,2546528,Elcie Cosmetics,The Hydra Enhancer,https://www.ulta.com/p/hydra-enhancer-pimprod2005656,3.40,5,0,$35.00,skin care,moisturizers, ,,,
pimprod2019899,2573077,Lottie London,Lottie London x Laila Loves Glazed Donut Highlighter,https://www.ulta.com/p/lottie-london-x-laila-loves-glazed-donut-highlighter-pimprod2019899,3.40,5,0,$8.95,makeup,face,highlighter,,,
pimprod2016565,2566260,Pacifica,Hemp Dew Setting Mist,https://www.ulta.com/p/hemp-dew-setting-mist-pimprod2016565,3.80,18,0,$10.00,makeup,face,setting spray & powder,,,
pimprod2020363,2576112,KIKO Milano,Radiant Boost Face Base,https://www.ulta.com/p/radiant-boost-face-base-pimprod2020363,4.70,7,0,$18.00,makeup,face,face primer,,,
pimprod2026269,2585724,THE ROUTE,The Day Drink - Energizing Hydration Tonic,https://www.ulta.com/p/day-drink-energizing-hydration-tonic-pimprod2026269,5.00,2,0,$50.00,makeup,face,setting spray & powder,,,
pimprod2018775,2573067,Elcie Cosmetics,Multi-Dimensional Blush,https://www.ulta.com/p/multi-dimensional-blush-pimprod2018775,0.0,,0,$29.00,makeup,face,blush,,2 Colors,
pimprod2015265,2564186,Au Naturale,Pure Powder Bronzer,https://www.ulta.com/p/pure-powder-bronzer-pimprod2015265,5.00,2,0,$28.00,makeup,face,bronzer,,3 Colors,
pimprod2018673,2571968,XX Revolution,H2 Glow Bomb Primer,https://www.ulta.com/p/h2-glow-bomb-primer-pimprod2018673,3.00,3,0,$20.00,makeup,face,face primer,,,
xlsImpprod17721243,2526427,J.Cat Beauty,Prime Time Makeup Primer Spray,https://www.ulta.com/p/prime-time-makeup-primer-spray-xlsImpprod17721243,4.50,10,0,$7.99,makeup,face,face primer,,2 Scents,
pimprod2021017,2573082,Lottie London,Diamond Bounce Highlighter Trio,https://www.ulta.com/p/diamond-bounce-highlighter-trio-pimprod2021017,0.0,,0,$11.95,makeup,face,highlighter,,,
pimprod2016587,2566856,Pacifica,Hemp Blur Pore Balancing Primer,https://www.ulta.com/p/hemp-blur-pore-balancing-primer-pimprod2016587,4.00,27,0,$13.00,makeup,face,face primer,,,
pimprod2014352,2564462,Hynt Beauty,Encore Pressed Powder Foundation,https://www.ulta.com/p/encore-pressed-powder-foundation-pimprod2014352,4.10,8,0,$45.00,makeup,face,foundation,,7 Colors,
pimprod2018672,2571967,XX Revolution,Hydra Quench Bomb Primer,https://www.ulta.com/p/hydra-quench-bomb-primer-pimprod2018672,0.00,,0,$20.00,makeup,face,face primer,,,
xlsImpprod17751159,2526396,Winky Lux,Powder Lights Highlighter,https://www.ulta.com/p/powder-lights-highlighter-xlsImpprod17751159,4.10,10,0,$16.00,makeup,face,highlighter,,2 Colors,
pimprod2021650,2576116,FACE HALO,Face Halo X 4-Pack,https://www.ulta.com/p/face-halo-x-4-pack-pimprod2021650,3.40,5,0,$28.00,skin care,cleansers, ,,,
xlsImpprod15451051,2506154,J.Cat Beauty,Invisible Matte Lip Makeup Remover,https://www.ulta.com/p/invisible-matte-lip-makeup-remover-xlsImpprod15451051,5.00,8,0,$5.00,skin care,cleansers, ,,,
